Name,Age,Nationality,Overall,Club,ClubName,ClubTop20,WageK,PreferredFoot,Position
M. Lackner,27,Austria,66,SK Sturm Graz,Others,No,6,Right,MidField
Pak Kwang Ryong,25,Korea DPR,65,SKN St. Pölten,Others,No,5,Right,Forward
F. Viteritti,25,Germany,65,FC Energie Cottbus,Others,No,1,Right,MidField
O. Ademi,26,Switzerland,65,FC Würzburger Kickers,Others,No,3,Right,Forward
P. Sohm,26,Germany,65,Hallescher FC,Others,No,2,Right,Forward
R. Dadashov,26,Azerbaijan,65,SC Preußen Münster,Others,No,2,Right,Forward
Obama,18,Spain,59,Atlético Madrid,12AtleticoMadrid,Yes,4,Right,Forward
F. Ben Mustapha,29,Tunisia,68,Al Shabab,Others,No,10,Right,GoalKeeper
Baraka,31,Brazil,68,Al Batin,Others,No,6,Right,MidField
Ricardo Machado,29,Portugal,67,Al Taawoun,Others,No,7,Right,Defence
W. Vorsager,21,Austria,64,FC Admira Wacker Mödling,Others,No,2,Right,Defence
S. Bösel,23,Germany,64,SG Sonnenhof Großaspach,Others,No,1,Right,MidField
T. Müller,20,Germany,64,Hallescher FC,Others,No,1,Right,GoalKeeper
A. Mandrea,21,France,64,Angers SCO,Others,No,2,Right,GoalKeeper
Salva Ferrer,20,Spain,63,Gimnàstic de Tarragona,Others,No,1,Right,Defence
Diego Barri,22,Spain,63,Albacete BP,Others,No,2,Right,MidField
Fornos,21,Spain,63,Deportivo de La Coruña,Others,No,1,Left,Defence
A. Romero,22,Venezuela,63,Crotone,Others,No,1,Right,MidField
Isi,22,Spain,63,Granada CF,Others,No,2,Right,MidField
Bolaños,23,Spain,63,CD Tenerife,Others,No,2,Right,MidField
M. Eskihellaç,21,Turkey,62,Yeni Malatyaspor,Others,No,2,Right,MidField
J. Porsan-Clémenté,20,France,62,Montpellier HSC,Others,No,4,Right,Forward
B. Garré,17,Argentina,60,Manchester City,05ManchesterCity,Yes,7,Left,Forward
R. Zapata,39,Colombia,69,Independiente Santa Fe,Others,No,1,Right,GoalKeeper
J. Stevens,20,England,52,Oxford United,Others,No,1,Right,GoalKeeper
L. Simpson,23,England,52,Macclesfield Town,Others,No,1,Left,GoalKeeper
L. Wade-Slater,20,Republic of Ireland,51,Stevenage,Others,No,1,Right,Defence
C. Addai,20,Ghana,51,Coventry City,Others,No,1,Right,GoalKeeper
B. Hedley,19,England,50,Morecambe,Others,No,1,Right,MidField
T. Allarakhia,20,England,50,Crawley Town,Others,No,1,Right,MidField
B. Buckley,17,England,49,Grimsby Town,Others,No,1,Right,MidField
M. Foy,19,England,49,Cambridge United,Others,No,1,Right,Forward
J. Devine,18,England,48,Tranmere Rovers,Others,No,1,Right,MidField
L. Jagne,20,England,48,Morecambe,Others,No,1,Left,MidField
J. Haugaard,26,Denmark,65,Stoke City,Others,No,8,Left,GoalKeeper
J. Clarke,23,England,64,Brentford,Others,No,7,Right,Defence
F. Venegas,19,Mexico,62,CD Everton de Viña del Mar,Others,No,1,Left,Defence
I. Aguilar,20,Mexico,61,Club América,Others,No,6,Right,MidField
E. Majetschak,18,Germany,60,RB Leipzig,Others,No,3,Right,MidField
C. Baumgartner,18,Austria,60,TSG 1899 Hoffenheim,Others,No,2,Right,MidField
R. Ziegele,21,Germany,60,VfL Wolfsburg,Others,No,4,Right,Defence
H. Artarslan,24,Turkey,64,Trabzonspor,Others,No,5,Right,MidField
I. Sayan,25,Turkey,63,Sivasspor,Others,No,3,Right,Forward
D. Bertrand,25,France,63,Angers SCO,Others,No,4,Left,MidField
F. Álvarez,18,Argentina,61,San Martín de San Juan,Others,No,1,Right,Defence
L. Kramer,18,Netherlands,61,FC Groningen,Others,No,1,Right,Defence
K. Kristinsson,19,Iceland,61,Willem II,Others,No,1,Right,Forward
P. Mandanda,28,DR Congo,67,Sporting de Charleroi,Others,No,4,Right,GoalKeeper
J. Bendik,29,United States,67,Orlando City SC,Others,No,2,Left,GoalKeeper
R. Meara,27,Republic of Ireland,67,New York Red Bulls,Others,No,2,Right,GoalKeeper
D. Toia,26,United States,66,Orlando City SC,Others,No,2,Left,Defence
S. O'Neill,24,United States,65,Orlando City SC,Others,No,2,Right,Defence
Jeong Tae Wook,21,Korea Republic,62,Jeju United FC,Others,No,1,Right,Defence
T. Børkeeiet,19,Norway,61,Stabæk Fotball,Others,No,1,Right,MidField
T. Christensen,18,Norway,61,IK Start,Others,No,1,Left,Forward
K. M?czy?ski,31,Poland,69,Legia Warszawa,Others,No,5,Right,MidField
G. Mencia,29,Paraguay,68,CD Universidad de Concepción,Others,No,2,Left,Defence
J. Arboleda,28,Colombia,68,Deportes Tolima,Others,No,2,Right,Defence
H. Rojas,30,Colombia,67,Millonarios FC,Others,No,2,Left,MidField
Y. Begraoui,16,France,59,AJ Auxerre,Others,No,1,Right,Forward
W. Droste,29,Netherlands,68,Heracles Almelo,Others,No,4,Right,Defence
C. Dielna,30,France,68,New England Revolution,Others,No,3,Left,Defence
T. Hateley,28,England,68,Piast Gliwice,Others,No,3,Right,MidField
L. Palun,29,Gabon,68,KSV Cercle Brugge,Others,No,6,Right,Defence
J. Leist,30,Germany,68,SG Sonnenhof Großaspach,Others,No,3,Right,Defence
F. Koch,29,Austria,68,SK Sturm Graz,Others,No,8,Right,MidField
S. Fürstner,30,Germany,68,Eintracht Braunschweig,Others,No,3,Right,MidField
M. Bravo,31,Argentina,67,San Martín de San Juan,Others,No,6,Left,Forward
C. Arias,30,Colombia,67,Alianza Petrolera,Others,No,1,Right,Forward
M. de Leeuw,31,Netherlands,67,Chicago Fire,Others,No,3,Right,MidField
A. Winter,31,Switzerland,67,FC Zürich,Others,No,5,Right,MidField
G. Rodríguez,27,Argentina,66,San Martin de Tucumán,Others,No,4,Right,Forward
S. Brandstetter,28,Germany,66,SV Wehen Wiesbaden,Others,No,3,Right,Forward
H. Zuck,27,Germany,66,1. FC Kaiserslautern,Others,No,2,Left,MidField
M. Figueroa,28,Argentina,66,San Martin de Tucumán,Others,No,4,Right,Forward
N. Hasler,27,Liechtenstein,66,Chicago Fire,Others,No,3,Right,Defence
M. Oesterhelweg,27,Germany,66,VfL Sportfreunde Lotte,Others,No,1,Left,MidField
C. Hemlein,27,Germany,66,1. FC Kaiserslautern,Others,No,2,Right,MidField
Lee Sang Heon,20,Korea Republic,64,Jeonnam Dragons,Others,No,2,Right,Forward
K. Alphonse,25,Ivory Coast,64,CD Feirense,Others,No,2,Right,MidField
K. Antonsen,23,Norway,64,Tromsø IL,Others,No,1,Left,MidField
O. Abildgaard,22,Denmark,64,Aalborg BK,Others,No,3,Left,MidField
M. Greve,23,Denmark,64,Odense Boldklub,Others,No,3,Right,MidField
S. Vecchia,23,Sweden,64,IK Sirius,Others,No,1,Right,MidField
M. Belkheir,19,Algeria,60,Brescia,Others,No,1,Left,Forward
E. Velarde,32,Mexico,69,Monarcas Morelia,Others,No,5,Left,Defence
B. Beckeles,32,Honduras,69,Club Necaxa,Others,No,6,Right,Defence
L. Ferroni,22,Argentina,64,Newell's Old Boys,Others,No,3,Left,Defence
Nuno Macedo,19,Portugal,63,Moreirense FC,Others,No,1,Right,GoalKeeper
R. Domínguez,21,El Salvador,63,Vancouver Whitecaps FC,Others,No,1,Right,Defence
Y. Lawal,20,Nigeria,63,Sporting Lokeren,Others,No,2,Right,MidField
L. García,20,Colombia,63,Sevilla FC,Others,No,2,Right,GoalKeeper
Lucas Rodrigues,18,Brazil,62,Moreirense FC,Others,No,1,Right,Forward
Alberto Redondo,21,Spain,62,Getafe CF,Others,No,2,Right,Defence
Miguel Ángel,20,Spain,62,Getafe CF,Others,No,2,Right,Defence
H. Kadish,25,Saudi Arabia,65,Al Hilal,Others,No,8,Left,Defence
P. Velthuizen,31,Netherlands,69,AZ Alkmaar,Others,No,6,Right,GoalKeeper
B. Shuttleworth,31,United States,69,Minnesota United FC,Others,No,3,Right,GoalKeeper
J. Schauerte,30,Germany,68,KAS Eupen,Others,No,5,Right,Defence
G. Díaz,30,Argentina,68,Vélez Sarsfield,Others,No,6,Right,Defence
Y. Mut?,29,Japan,67,Urawa Red Diamonds,Others,No,5,Right,Forward
R. Magyar,27,Sweden,66,SpVgg Greuther Fürth,Others,No,3,Right,Defence
L. Schwechlen,29,France,66,BB Erzurumspor,Others,No,4,Left,Defence
T. Müller,23,Germany,65,1. FC Magdeburg,Others,No,3,Right,Defence
Salva Ruíz,23,Spain,65,RCD Mallorca,Others,No,2,Left,Defence
M. Uhre,23,Denmark,64,Brøndby IF,Others,No,6,Right,Forward
B. Whitfield,22,England,63,Port Vale,Others,No,3,Right,MidField
H. Boateng,22,England,63,Exeter City,Others,No,2,Left,MidField
J. Baird,22,Scotland,63,St. Mirren,Others,No,1,Right,Defence
C. Burgess,22,Australia,63,Scunthorpe United,Others,No,2,Left,Defence
J. Pendant,21,France,63,FC Sochaux-Montbéliard,Others,No,1,Left,Defence
A. Elogo,23,Cameroon,63,Grenoble Foot 38,Others,No,1,Right,Forward
L. Kinsella,22,Republic of Ireland,63,Walsall,Others,No,2,Right,MidField
T. Ephestion,23,France,63,US Orléans Loiret Football,Others,No,1,Left,MidField
Paulo Daineiro,34,Brazil,69,Ceará Sporting Club,Others,No,10,Right,MidField
R. Wood,32,England,68,Rotherham United,Others,No,12,Left,Defence
Bruno Michel,19,Brazil,62,Ohod Club,Others,No,2,Left,MidField
M. Demir,20,Turkey,60,Hannover 96,Others,No,3,Left,MidField
A. Pomini,37,Italy,68,Palermo,Others,No,1,Right,GoalKeeper
Zhang Enge,21,China PR,50,Shanghai SIPG FC,Others,No,1,Left,Defence
O. Olsen,17,Denmark,50,FC Midtjylland,Others,No,1,Right,Defence
Nino,38,Spain,70,Elche CF,Others,No,4,Right,Forward
Juanjo,30,Spain,69,GIF Sundsvall,Others,No,2,Right,MidField
S. Bentivoglio,33,Italy,69,Venezia FC,Others,No,3,Right,MidField
H. Takahashi,30,Japan,69,Sagan Tosu,Others,No,3,Right,MidField
K. Vacek,31,Czech Republic,68,Odense Boldklub,Others,No,6,Right,MidField
P. Riese,28,Germany,67,FC Erzgebirge Aue,Others,No,3,Left,MidField
H. Singh,27,Norway,67,Sarpsborg 08 FF,Others,No,2,Right,MidField
Tekio,27,Spain,67,Elche CF,Others,No,3,Right,Defence
K. Mizunuma,28,Japan,67,Cerezo Osaka,Others,No,3,Right,MidField
Cesinha,28,Brazil,67,Daegu FC,Others,No,3,Right,Forward
Aridai,29,Spain,66,RCD Mallorca,Others,No,3,Right,MidField
S. Scappini,30,Italy,66,Cittadella,Others,No,1,Right,Forward
Benja,30,Spain,66,Elche CF,Others,No,3,Right,Forward
M. Mancosu,29,Italy,66,Lecce,Others,No,2,Right,MidField
S. Román,23,Colombia,65,Once Caldas,Others,No,1,Right,GoalKeeper
C. Mancilla,25,Colombia,65,Envigado FC,Others,No,1,Right,Defence
R. Cepeda,24,Chile,64,Club Deportes Temuco,Others,No,1,Right,MidField
M. Cebula,22,Poland,64,Korona Kielce,Others,No,1,Right,MidField
I. Juki?,22,Croatia,64,Korona Kielce,Others,No,1,Right,MidField
M. Palacios,21,Colombia,63,Boyacá Chicó FC,Others,No,1,Right,MidField
Hui Jiakang,29,China PR,64,Tianjin TEDA FC,Others,No,4,Right,Forward
A. Andrianarimanana,27,Madagascar,63,Kaizer Chiefs,Others,No,1,Right,MidField
A. Al Hamdan,18,Saudi Arabia,60,Al Shabab,Others,No,3,Right,Forward
J. Shackell,34,England,70,Lincoln City,Others,No,10,Left,Defence
J. Ramaré,34,France,70,Valenciennes FC,Others,No,4,Right,MidField
M. Andersen,29,Denmark,68,FC Midtjylland,Others,No,7,Right,GoalKeeper
R. Ruiter,31,Netherlands,68,Sunderland,Others,No,5,Right,GoalKeeper
J. Demetriou,30,Cyprus,67,Southend United,Others,No,4,Right,Defence
M. Ehmer,26,Germany,66,Gillingham,Others,No,3,Right,Defence
L. Craig,31,Scotland,66,St. Johnstone FC,Others,No,3,Left,MidField
J. Akinde,28,England,65,Lincoln City,Others,No,6,Right,Forward
D. Merelli,22,Italy,65,Padova,Others,No,1,Left,GoalKeeper
R. Reid,29,England,65,Forest Green Rovers,Others,No,5,Right,Forward
D. Worrall,28,England,65,Port Vale,Others,No,5,Right,MidField
S. Wagstaff,28,England,65,AFC Wimbledon,Others,No,3,Right,MidField
M. Guezoui,29,France,65,Valenciennes FC,Others,No,2,Right,Forward
R. Serena,21,Italy,63,Padova,Others,No,1,Right,MidField
D. Connolly,23,Republic of Ireland,63,Dundalk,Others,No,1,Right,MidField
T. Mohr,22,Germany,63,SpVgg Greuther Fürth,Others,No,2,Left,MidField
B. Kirsch,22,Germany,63,SpVgg Greuther Fürth,Others,No,2,Right,MidField
A. McEneff,22,Republic of Ireland,63,Shamrock Rovers,Others,No,1,Right,MidField
Samuel Manchón,21,Spain,62,Extremadura UD,Others,No,1,Right,MidField
K. Machida,20,Japan,61,Kashima Antlers,Others,No,2,Left,Defence
R. Nicolaisen,21,Denmark,61,FC Midtjylland,Others,No,3,Right,Defence
M. Konczkowski,24,Poland,66,Piast Gliwice,Others,No,2,Right,Defence
B. Kopacz,26,Poland,66,Zag??bie Lubin,Others,No,2,Right,Defence
A. Uryga,24,Poland,66,Wis?a P?ock,Others,No,2,Right,Defence
C. Palomeque,24,Colombia,65,Alianza Petrolera,Others,No,1,Left,MidField
J. Leiva,24,Chile,65,Audax Italiano,Others,No,2,Left,Forward
K. Wrzesi?ski,24,Poland,65,Zag??bie Sosnowiec,Others,No,1,Right,MidField
N. Aankour,24,Morocco,65,Arka Gdynia,Others,No,2,Right,MidField
J. Rodríguez,25,Colombia,65,Once Caldas,Others,No,1,Left,MidField
R. ten Hove,20,Netherlands,62,Feyenoord,Others,No,1,Right,GoalKeeper
J. Bocanegra,19,Colombia,61,Junior FC,Others,No,1,Left,MidField
D. Mitov Nilsson,27,FYR Macedonia,68,IFK Norrköping,Others,No,2,Right,GoalKeeper
Kim Seung Gyu,27,Korea Republic,68,Vissel Kobe,Others,No,3,Right,GoalKeeper
O. Jansson,27,Sweden,68,Örebro SK,Others,No,2,Right,GoalKeeper
D. Fllman,28,Sweden,67,Hammarby IF,Others,No,2,Right,Defence
A. Calisir,28,Sweden,67,IFK Göteborg,Others,No,2,Right,Defence
P. Izzo,23,Australia,67,Adelaide United,Others,No,1,Right,GoalKeeper
M. Ødegaard,25,Norway,66,Tromsø IL,Others,No,2,Right,Defence
A. Witry,22,Norway,66,Ranheim Fotball,Others,No,1,Right,Defence
F. Holst,23,Denmark,66,IF Elfsborg,Others,No,2,Right,Defence
K. Pedersen,25,Denmark,66,Aalborg BK,Others,No,4,Right,Defence
C. Chapman,23,Australia,66,Pohang Steelers,Others,No,2,Right,MidField
J. Tverskov,25,Denmark,66,Odense Boldklub,Others,No,4,Right,Defence
S. Sandberg,24,Sweden,66,Hammarby IF,Others,No,2,Right,Defence
S. Lundholm,24,Sweden,65,IK Sirius,Others,No,1,Left,MidField
B. Kamau,23,Australia,65,Western Sydney Wanderers,Others,No,3,Right,Forward
M. Karl,32,Germany,69,SV Sandhausen,Others,No,3,Right,Defence
R. Schiavi,32,Italy,69,US Salernitana 1919,Others,No,3,Right,Defence
N. Cherubin,31,Italy,68,Hellas Verona,Others,No,2,Left,Defence
F. Schönheim,31,Germany,68,1. FC Union Berlin,Others,No,11,Left,Defence
Quini,28,Spain,67,Granada CF,Others,No,3,Right,Defence
C. Rivera,22,Colombia,64,Deportivo Cali,Others,No,1,Right,MidField
F. Román,22,Colombia,64,Millonarios FC,Others,No,1,Right,Defence
I. Pomazun,21,Russia,63,PFC CSKA Moscow,Others,No,1,Right,GoalKeeper
Kike,18,Spain,62,Rayo Vallecano,Others,No,1,Right,Defence
C. Giraldo,38,Colombia,65,Deportivo Pasto,Others,No,1,Right,MidField
L. Giovini,36,Argentina,65,Unión La Calera,Others,No,1,Right,GoalKeeper
L. Sapela,35,Poland,62,Mied? Legnica,Others,No,1,Left,GoalKeeper
L. Perea,32,Colombia,56,La Equidad,Others,No,1,Right,Forward
C. Vargas,28,Colombia,67,Atlético Nacional,Others,No,2,Right,GoalKeeper
J. Clarke,26,England,65,Scunthorpe United,Others,No,3,Right,Defence
J. Riley,26,England,65,Plymouth Argyle,Others,No,3,Right,Defence
Y. Marillat,23,France,65,AS Béziers,Others,No,1,Right,GoalKeeper
J. Phojo,25,France,65,Clermont Foot 63,Others,No,2,Right,Defence
A. Cairns,25,England,65,Fleetwood Town,Others,No,2,Left,GoalKeeper
A. Chicksen,26,Zimbabwe,65,Bradford City,Others,No,3,Left,Defence
A. Sarcevic,26,England,64,Plymouth Argyle,Others,No,3,Right,MidField
H. Akpan,26,Nigeria,64,Bradford City,Others,No,3,Right,MidField
F. Markovi?,26,Serbia,64,Racing Club de Lens,Others,No,3,Right,MidField
B. Reeves,26,Northern Ireland,64,Charlton Athletic,Others,No,3,Left,MidField
J. Lopy,26,Senegal,64,US Orléans Loiret Football,Others,No,2,Right,MidField
F. Cuvelier,25,Belgium,64,Morecambe,Others,No,2,Right,MidField
A. Solano,20,Colombia,62,Atlético Madrid,12AtleticoMadrid,Yes,5,Right,Defence
Darío Poveda,21,Spain,61,Atlético Madrid,12AtleticoMadrid,Yes,6,Right,Forward
J. Lindsey,18,United States,61,Sporting Kansas City,Others,No,1,Right,Defence
F. Cambeses,21,Argentina,61,Club Atlético Banfield,Others,No,1,Right,GoalKeeper
P. Ruiz,19,Argentina,60,Real Salt Lake,Others,No,1,Left,Forward
C. Ojeda,19,Argentina,60,Club Atlético Talleres,Others,No,1,Left,Forward
J. Pereyra,19,Argentina,60,Rosario Central,Others,No,1,Left,MidField
A. Pululu,19,Angola,60,FC Basel 1893,Others,No,2,Right,Forward
M. Choinière,19,Canada,60,Montreal Impact,Others,No,1,Right,MidField
Daniel Rebollo,18,Spain,60,Real Betis,Others,No,1,Right,GoalKeeper
Sergi Álamo,20,Spain,60,Girona FC,Others,No,3,Left,Defence
Z. MacMath,26,United States,67,Colorado Rapids,Others,No,2,Right,GoalKeeper
M. Trapp,26,Germany,66,VfL Osnabrück,Others,No,2,Left,Defence
V. Moren,27,Finland,66,Waasland-Beveren,Others,No,4,Right,Defence
A. Schlager,22,Austria,66,LASK Linz,Others,No,2,Right,GoalKeeper
U. Taffertshofer,26,Germany,66,VfL Osnabrück,Others,No,2,Right,MidField
L. Grozurek,26,Austria,65,SK Sturm Graz,Others,No,5,Right,Forward
P. Hoffmann,26,Germany,65,SC Preußen Münster,Others,No,2,Right,MidField
M. Pink,27,Austria,65,SK Sturm Graz,Others,No,6,Right,Forward
L. Schnellbacher,24,Germany,64,VfR Aalen,Others,No,1,Right,Forward
M. Kvasina,21,Austria,64,SV Mattersburg,Others,No,4,Right,Forward
L. Ndao,23,Senegal,64,Waasland-Beveren,Others,No,3,Right,Forward
J. McBean,23,United States,64,Colorado Rapids,Others,No,2,Right,Forward
Edsinho Torres,34,Brazil,70,Sport Club do Recife,Others,No,9,Right,Defence
Daguinho Parrela,34,Brazil,70,Internacional,Others,No,13,Right,Defence
Fepe Avedo,30,Brazil,67,Bahia,Others,No,4,Right,GoalKeeper
Mateus Tangil,30,Brazil,67,América FC (Minas Gerais),Others,No,4,Right,GoalKeeper
B. Hamer,30,England,67,Huddersfield Town,Others,No,11,Right,GoalKeeper
B. Emir,30,Turkey,66,Göztepe SK,Others,No,7,Left,Defence
C. Gunter,28,Wales,66,Reading,Others,No,9,Right,Defence
C. Rodríguez,21,Mexico,63,Monterrey,Others,No,6,Right,MidField
E. Torres,20,Mexico,62,Guadalajara,Others,No,5,Left,MidField
D. Hernández,18,Mexico,62,Guadalajara,Others,No,3,Left,Forward
I. Moreno,20,Mexico,62,Club América,Others,No,7,Right,MidField
I. Wilson,19,Scotland,60,Kilmarnock,Others,No,1,Right,MidField
A. Nguiamba,19,France,60,AS Nancy Lorraine,Others,No,1,Left,MidField
H. Gueye,19,Senegal,60,Chamois Niortais Football Club,Others,No,1,Left,Defence
Ding Bowei,21,China PR,51,Tianjin TEDA FC,Others,No,1,Right,GoalKeeper
A. Ousou,18,Sweden,50,BK Hcken,Others,No,1,Right,Defence
M. Gudmann,18,Denmark,50,FC Nordsjælland,Others,No,1,Right,Defence
N. Suman,18,Australia,50,Western Sydney Wanderers,Others,No,1,Left,GoalKeeper
F. Nørgaard,19,Denmark,50,AC Horsens,Others,No,1,Left,GoalKeeper
H. Wulff,18,Norway,50,Stabæk Fotball,Others,No,1,Right,GoalKeeper
Gao Dalun,21,China PR,50,Jiangsu Suning FC,Others,No,2,Right,Forward
L. Klitten,18,Denmark,50,Aalborg BK,Others,No,1,Right,Defence
Liu Yi,21,China PR,50,Tianjin Quanjian FC,Others,No,2,Right,MidField
P. Paya,18,Sweden,50,GIF Sundsvall,Others,No,1,Right,MidField
J. Granlund,18,Norway,50,Sandefjord Fotball,Others,No,1,Right,GoalKeeper
V. Smedsrud,18,Denmark,50,SønderjyskE,Others,No,1,Right,GoalKeeper
Chen Zhao,21,China PR,50,Shanghai Greenland Shenhua FC,Others,No,1,Right,GoalKeeper
Liu Yaoxin,20,China PR,49,Tianjin TEDA FC,Others,No,1,Right,MidField
T. Gundelund,16,Denmark,48,Vejle Boldklub,Others,No,1,Right,Defence
Wang Xin,20,China PR,48,Guangzhou R&F; FC,Others,No,1,Right,Defence
Wu Lei,21,China PR,48,Tianjin Quanjian FC,Others,No,2,Right,MidField
L. Wahlstedt,18,Sweden,48,Dalkurd FF,Others,No,1,Right,GoalKeeper
S. Al Duayyi,25,Saudi Arabia,65,Al Fateh,Others,No,6,Right,Defence
A. Absalem,21,Netherlands,64,FC Groningen,Others,No,2,Left,Defence
M. Caufriez,21,Belgium,64,Waasland-Beveren,Others,No,2,Right,Defence
N. Landgraf,22,Germany,64,Hallescher FC,Others,No,1,Left,Defence
M. Wachs,22,Germany,64,SV Wehen Wiesbaden,Others,No,2,Left,Defence
A. Al Qahtani,25,Saudi Arabia,64,Al Fayha,Others,No,5,Right,Forward
J. Schryvers,21,Belgium,64,Waasland-Beveren,Others,No,2,Right,Defence
E. Calvillo,20,United States,63,San Jose Earthquakes,Others,No,1,Right,MidField
J. Hofmann,21,Germany,63,VfL Sportfreunde Lotte,Others,No,1,Right,MidField
L. Lmmel,20,Germany,63,VfR Aalen,Others,No,1,Right,MidField
A. Karnuçu,18,Turkey,60,Galatasaray SK,Others,No,3,Right,MidField
N. Ferguson,17,England,60,West Bromwich Albion,Others,No,2,Right,Defence
J. Mukena,18,Belgium,60,Watford,Others,No,3,Right,Defence
M. Acikgöz,18,Turkey,60,Be?ikta? JK,Others,No,3,Right,MidField
B. ?en,19,Turkey,60,Galatasaray SK,Others,No,2,Right,GoalKeeper
Z. Medley,17,England,60,Arsenal,07Arsenal,Yes,5,Right,Defence
Tian Yinong,27,China PR,63,Jiangsu Suning FC,Others,No,4,Right,MidField
Tan Tiancheng,27,China PR,63,Changchun Yatai FC,Others,No,3,Right,Forward
Eliseo Falcón,21,Spain,61,Granada CF,Others,No,1,Right,Defence
L. Mokhevishvili,22,Georgia,61,Albacete BP,Others,No,1,Right,MidField
J. Sánchez Purata,20,Mexico,61,Tigres U.A.N.L.,Others,No,5,Right,Defence
Álvaro García,18,Spain,60,Albacete BP,Others,No,1,Left,MidField
Iraizoz,37,Spain,75,Girona FC,Others,No,13,Right,GoalKeeper
M. D?browski,31,Poland,69,Zag??bie Lubin,Others,No,4,Right,Defence
P. Magalhães,28,Chile,68,CD Antofagasta,Others,No,2,Right,Defence
A. Hloušek,29,Czech Republic,68,Legia Warszawa,Others,No,4,Left,Defence
A. Miljkovi?,28,Serbia,68,Mied? Legnica,Others,No,2,Right,Defence
S. Bruzzese,29,Belgium,67,KV Kortrijk,Others,No,4,Left,GoalKeeper
J. Attinella,29,United States,67,Portland Timbers,Others,No,2,Right,GoalKeeper
P. Barrios,28,Argentina,66,Atlético Tucumán,Others,No,4,Right,Defence
M. Mak,26,Poland,66,Piast Gliwice,Others,No,3,Right,MidField
